1 1 1 1 3 1 1 0 0 2 0 0 0 0 1 1 0 0 0 0,5199
1 1 1 1 8 5 1 0 0 2 0 0 0 0 1 1 0 0 0 0,4918
1 1 1 1 1 1 1 0 0 2 0 0 0 0 1 1 0 0 0 0,4839
1 1 1 1 6 5 1 0 0 2 0 0 0 0 1 1 0 0 0 0,2467
2 4 2 4 3 1 2 0 0 0 0 0 1 0 1 0 0 0 0 0,1921
1 1 1 1 7 5 1 0 0 1 0 0 0 0 1 1 0 0 0 0,1634
1 1 1 1 1 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0,1626
1 1 9 1 1 1 1 2 49 2 0 0 0 0 1 1 0 0 0 4,1626
2 4 2 4 3 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0,1492
1 1 9 1 1 1 1 1 49 2 0 0 0 0 1 1 0 0 0 6,1389
1 1 1 1 1 1 1 0 0 2 1 0 0 0 1 1 0 0 0 0,1073
1 1 9 1 1 1 1 0 23 2 0 0 0 0 1 1 0 0 0 1,1021
2 5 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 0 0,958
1 1 1 1 7 5 1 0 0 1 0 0 0 0 1 1 1 0 0 0,917
1 1 1 1 1 2 1 0 0 2 0 0 0 0 1 1 0 0 0 0,860
1 1 1 1 7 5 1 0 0 2 0 0 0 0 1 1 0 0 0 0,839
6 1 41 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,832
1 1 1 1 1 1 4 0 0 1 1 0 0 0 1 1 0 0 0 0,633
1 1 1 1 1 2 1 0 1 2 0 0 0 0 1 1 0 0 0 0,605
1 1 1 1 5 1 1 0 0 2 0 0 0 0 1 1 0 0 0 0,593
2 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0,592
1 1 1 1 1 1 2 0 0 1 0 0 0 0 1 1 0 0 0 0,580
5 3 1 1 4 0 6 1 2 0 0 0 0 57 0 0 0 0 0 0,578
5 3 1 1 2 0 9 1 1 1 0 0 0 132 0 0 0 0 0 0,550
5 3 1 1 2 0 6 1 2 0 0 0 0 132 0 0 0 0 0 0,537
1 1 1 1 6 5 1 0 0 2 1 0 0 0 1 1 0 0 0 0,535
1 1 1 1 8 8 1 0 1 2 0 0 0 0 1 1 0 0 0 0,504
5 3 1 1 3 0 6 1 2 0 0 0 0 56 0 0 0 0 0 0,504
1 1 1 1 1 2 1 0 0 2 0 0 0 0 1 1 1 0 0 0,499
2 4 2 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,475
1 1 1 1 2 2 1 2 74 2 0 0 0 0 1 1 0 0 0 4,469
1 1 1 1 7 8 1 2 74 2 0 0 0 0 1 1 0 0 0 4,456
1 1 1 1 1 1 1 0 0 2 0 0 0 0 1 1 0 0 1 0,455
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,449
1 1 1 1 8 5 1 0 0 2 0 0 0 0 1 1 1 0 0 0,447
1 1 9 1 1 1 1 1 50 2 0 0 0 0 1 1 0 0 0 1,432
1 1 9 1 1 1 1 1 61 2 0 0 0 0 1 1 0 0 0 1,419
2 1 1 1 1 1 4 1 1 1 1 0 1 1 1 0 0 0 0 0,414
1 1 1 1 8 5 1 0 0 1 0 0 0 0 1 1 0 0 0 0,410
5 3 1 1 1 0 6 1 2 0 0 0 0 183 0 0 0 0 0 0,398
5 3 1 1 6 0 5 1 1 1 0 0 1 1 0 0 0 0 0 0,382
1 1 1 1 3 1 1 0 0 2 0 0 0 0 1 1 0 0 1 0,374
1 1 9 1 1 1 1 1 56 2 0 0 0 0 1 1 0 0 0 1,356
2 4 2 4 3 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0,338
5 3 1 1 6 0 5 1 1 1 0 0 0 1 0 0 0 0 0 0,334
5 2 2 1 1 0 6 1 2 0 0 0 0 0 0 0 0 0 0 0,333
1 1 1 1 1 1 2 0 0 2 0 0 0 0 1 1 0 0 0 0,329
6 1 32 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,321
1 1 1 11 6 6 1 0 0 2 0 0 0 0 1 1 0 0 0 0,318
1 1 9 1 1 1 1 1 62 2 0 0 0 0 1 1 0 0 0 1,314
1 1 1 1 5 2 1 0 0 2 0 0 0 0 1 1 0 0 0 0,313
11 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,305
1 1 9 1 23 1 1 3 49 1 0 0 0 0 0 0 0 0 0 5,300
1 1 1 1 7 5 1 0 0 2 0 0 0 0 1 1 1 0 0 0,300
5 3 1 1 2 0 5 1 1 1 0 0 0 132 0 0 0 0 0 0,298
5 3 1 1 6 14 1 1 1 1 0 0 0 42 0 0 0 0 0 0,295
1 1 1 1 1 1 1 0 0 2 0 0 0 0 1 1 1 0 0 0,281
5 2 3 1 1 0 5 1 1 1 0 0 0 0 0 0 0 0 0 0,278
2 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 0 0,275
2 1 1 1 1 1 3 1 1 1 1 0 1 1 1 0 0 0 0 0,275
1 1 1 1 6 5 1 0 0 2 0 0 0 0 1 1 0 0 1 0,269
1 1 1 1 7 5 1 0 0 2 1 0 0 0 1 1 0 0 0 0,267
5 3 1 1 2 0 8 1 1 1 0 0 0 132 0 0 0 0 0 0,257
1 1 9 1 1 1 1 1 52 2 0 0 0 0 1 1 0 0 0 1,257
1 1 1 1 3 1 1 0 0 2 1 0 0 0 1 1 0 0 0 0,252
5 3 1 1 3 0 5 1 1 1 0 0 0 56 0 0 0 0 0 0,244
5 3 1 1 6 9 1 1 1 1 0 0 0 33 0 0 0 0 0 0,243
1 1 1 2 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0,242
5 1 1 1 2 0 6 1 2 0 0 0 1 0 0 0 0 0 0 0,235
1 1 1 1 3 1 2 0 0 2 0 0 0 0 1 1 0 0 0 0,231
5 2 1 1 1 0 6 1 2 0 0 0 0 0 0 0 0 0 0 0,230
1 1 1 1 8 5 1 0 0 2 1 0 0 0 1 1 0 0 0 0,226
5 3 1 1 4 0 6 1 2 0 0 0 0 226 0 0 0 0 0 0,220
1 1 9 1 1 1 1 0 3 2 0 0 0 0 1 1 0 0 0 1,213
1 1 9 1 1 1 1 1 59 2 0 0 0 0 1 1 0 0 0 1,212
1 1 9 1 1 1 1 1 55 2 0 0 0 0 1 1 0 0 0 1,206
5 1 1 3 0 0 6 1 2 0 0 0 1 0 0 0 0 0 0 0,204
1 1 1 1 1 1 4 0 0 2 0 0 0 0 1 1 0 0 0 0,200
1 1 1 1 1 1 1 0 0 2 1 0 0 0 1 1 0 0 1 0,199
1 1 1 1 6 5 4 0 0 2 0 0 0 0 1 1 0 0 0 0,198
5 2 3 1 1 14 1 1 1 1 0 0 0 15 0 0 0 0 0 0,198
1 1 1 1 7 8 1 2 53 2 0 0 0 0 1 1 0 0 0 4,192
1 1 1 1 2 2 1 2 53 2 0 0 0 0 1 1 0 0 0 4,191
1 1 9 1 1 1 1 2 61 2 0 0 0 0 1 1 0 0 0 2,180
1 1 1 1 6 5 2 0 0 2 0 0 0 0 1 1 0 0 0 0,178
1 1 9 1 1 1 1 0 11 2 0 0 0 0 1 1 0 0 0 1,178
1 1 1 1 1 1 1 0 0 2 1 0 0 0 1 1 1 0 0 0,176
5 3 1 1 4 14 3 1 2 0 0 0 0 95 0 0 0 0 0 0,176
1 1 1 1 6 5 1 0 0 1 0 0 0 0 1 1 0 0 0 0,175
5 3 1 1 6 5 1 1 1 1 0 0 0 26 0 0 0 0 0 0,173
1 1 1 1 1 1 4 0 0 1 0 0 0 0 1 1 0 0 0 0,172
5 2 3 2 1 0 6 1 2 0 0 0 0 0 0 0 0 0 0 0,168
5 2 3 1 1 5 1 1 1 1 0 0 0 6 0 0 0 0 0 0,167
5 3 1 1 4 0 5 1 1 1 0 0 0 203 0 0 0 0 0 0,160
1 1 1 1 8 5 1 0 4 2 0 0 0 0 1 1 0 0 0 0,159
5 3 1 1 2 0 11 1 1 1 0 0 0 132 0 0 0 0 0 0,157
5 2 3 1 1 9 1 1 1 1 0 0 0 10 0 0 0 0 0 0,157
5 3 1 1 2 14 1 1 1 1 0 0 0 174 0 0 0 0 0 0,152
2 1 1 1 1 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0,152
1 1 1 1 7 5 1 0 0 2 1 0 0 0 1 1 1 0 0 0,149
1 1 9 1 1 1 1 2 56 2 0 0 0 0 1 1 0 0 0 2,146
1 1 1 4 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0,145
1 1 9 1 1 1 1 1 47 2 0 0 0 0 1 1 0 0 0 1,142
1 1 1 1 6 5 4 0 0 2 0 0 0 0 1 1 1 0 0 0,140
5 1 1 3 0 0 5 1 1 1 0 0 1 0 0 0 0 0 0 0,139
5 1 1 1 1 0 6 1 2 0 0 0 1 0 0 0 0 0 0 0,139
1 1 1 1 8 5 1 0 0 2 0 0 0 0 1 1 0 0 1 0,138
6 1 33 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,138
1 1 1 1 1 1 3 0 0 2 0 0 0 0 1 1 0 0 0 0,137
5 3 1 1 6 15 1 1 1 1 0 0 0 45 0 0 0 0 0 0,135
5 2 3 1 1 8 1 1 1 1 0 0 0 9 0 0 0 0 0 0,134
5 3 1 1 6 8 1 1 1 1 0 0 0 31 0 0 0 0 0 0,133
5 2 3 1 1 13 1 1 1 1 0 0 0 14 0 0 0 0 0 0,133
1 1 1 1 8 5 1 0 0 2 0 0 0 0 1 1 0 1 1 0,132
1 1 1 1 9 5 1 0 0 2 0 0 0 0 1 1 0 0 0 0,131
1 1 1 1 6 5 3 0 0 2 0 0 0 0 1 1 0 0 0 0,130
5 1 1 3 0 14 1 1 1 1 0 0 0 15 0 0 0 0 0 0,130
5 1 1 1 2 14 3 1 2 0 0 0 0 15 0 0 0 0 0 0,130
2 1 1 1 1 1 5 1 1 1 1 0 1 1 1 0 0 0 0 0,129
1 1 1 1 1 2 1 2 54 2 0 0 0 0 1 1 0 0 0 4,129
1 1 1 1 8 5 1 0 24 2 0 0 0 0 1 1 0 0 0 0,126
1 1 9 1 1 1 1 3 87 2 0 0 0 0 1 1 0 0 0 3,126
1 1 1 1 8 5 3 0 0 2 0 0 0 0 1 1 0 0 0 0,126
1 1 1 1 3 1 1 0 0 2 0 0 1 0 1 1 0 0 0 0,124
1 1 1 1 8 5 4 0 0 2 0 0 0 0 1 1 0 0 0 0,124
1 1 1 1 3 2 1 0 0 2 0 0 0 0 1 1 0 0 0 0,122
5 1 1 1 1 14 3 1 2 0 0 0 0 15 0 0 0 0 0 0,120
5 3 1 1 1 0 5 1 1 0 0 0 0 183 0 0 0 0 0 0,120
5 1 1 3 0 8 1 1 1 1 0 0 0 9 0 0 0 0 0 0,119
1 1 1 1 8 8 1 2 54 2 0 0 0 0 1 1 0 0 0 4,119
1 1 1 2 8 5 1 0 0 2 0 0 0 0 1 1 0 0 0 0,116
5 3 1 1 6 0 6 1 2 0 0 0 1 1 0 0 0 0 0 0,116
5 2 3 1 1 15 1 1 1 1 0 0 0 16 0 0 0 0 0 0,112
1 1 9 1 1 1 1 2 50 2 0 0 0 0 1 1 0 0 0 2,112
5 1 1 3 0 5 1 1 1 1 0 0 0 6 0 0 0 0 0 0,112
2 4 2 4 3 0 9 1 1 1 1 0 1 1 0 0 0 0 0 0,111
7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,110
5 1 1 3 0 15 1 1 1 1 0 0 0 16 0 0 0 0 0 0,110
5 3 1 1 6 13 1 1 1 1 0 0 0 40 0 0 0 0 0 0,109
2 5 1 1 1 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0,105
5 3 1 1 3 14 1 1 1 1 0 0 0 96 0 0 0 0 0 0,105
1 1 9 1 1 1 1 1 57 2 0 0 0 0 1 1 0 0 0 1,104
5 3 1 1 4 9 3 1 2 0 0 0 0 80 0 0 0 0 0 0,103
5 2 1 1 1 14 3 1 2 0 0 0 0 15 0 0 0 0 0 0,102
5 1 1 3 0 13 1 1 1 1 0 0 0 14 0 0 0 0 0 0,102
5 3 1 1 2 0 14 1 1 1 0 0 0 132 0 0 0 0 0 0,102
5 1 1 3 0 9 1 1 1 1 0 0 0 10 0 0 0 0 0 0,101
5 3 1 1 3 0 6 1 2 1 0 0 0 56 0 0 0 0 0 0,100
2 4 2 4 3 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0,99
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,98
2 5 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0,97
5 3 1 1 6 7 1 1 1 1 0 0 0 28 0 0 0 0 0 0,97
5 1 1 1 2 9 3 1 2 0 0 0 0 10 0 0 0 0 0 0,96
1 1 1 3 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0,95
5 3 1 1 2 0 12 1 2 1 0 0 0 132 0 0 0 0 0 0,95
1 1 1 1 3 1 3 0 0 2 0 0 0 0 1 1 0 0 0 0,95
6 0 20 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,93
1 1 1 1 1 1 2 0 0 2 1 0 0 0 1 1 0 0 0 0,93
1 1 1 1 1 1 1 0 0 2 0 0 0 1 1 1 0 0 0 0,91
5 2 3 1 1 1 1 1 1 1 0 0 0 2 0 0 0 0 0 0,89
